State,Value
    111111 1,-1.678655937
1111111,-0.006774687
11111111,1.76700625
1,-0.627675137
   1       1,-0.03151247
   1      1 ,-0.03151247
   1      11,-0.665166275
   1     1  ,-0.03151247
   1     1 1,0.033171022
   1     11 ,0.033171022
   1     111,-0.038689047
   1    1   ,0.563820074
   1    1  1,-0.703855321
   1    1 1 ,-0.593494815
   1    1 11,0
   1    11  ,-0.703855321
   1    11 1,-0.95
   1    111 ,-0.073605912
   1    1111,0.045125
   1   1    ,0
   1   1   1,-0.665166275
   1   1  1 ,-0.665166275
   1   1  11,-0.034916865
   1   1 1  ,-0.665166275
   1   1 1 1,-0.034916865
   1   1 11 ,-0.073605912
   1   1 111,-0.737026343
   1   11   ,-0.703855321
   1   11  1,0.700175026
   1   11 1 ,0.624731384
   1   11 11,-1.729895093
   1   111  ,-0.034916865
   1   111 1,-0.779895093
   1   1111 ,-1.472118234
   1   11111,-0.129057797
   1  1     ,0
   1  1    1,-0.703855321
   1  1   1 ,-0.665166275
   1  1   11,-0.034916865
   1  1  1  ,-0.703855321
   1  1  1 1,-0.95
   1  1  11 ,-0.04286875
   1  1  111,0.036754595
   1  1 1   ,-0.703855321
   1  1 1  1,-0.0475
   1  1 1 1 ,0
   1  1 1 11,0.077479907
   1  1 11  ,-0.125285615
   1  1 11 1,-0.956114155
   1  1 111 ,-0.779895093
   1  1 1111,-0.95
   1  11    ,-0.665166275
   1  11   1,0
   1  11  1 ,0
   1  11  11,-0.820620405
   1  11 1  ,-0.073605912
   1  11 1 1,-0.779895093
   1  11 11 ,-0.779895093
   1  11 111,-0.129057797
   1  111   ,0
   1  111  1,-0.737026343
   1  111 1 ,-1.607611984
   1  111 11,-0.129057797
   1  1111  ,-1.562486984
   1  1111 1,-0.081557797
   1  11111 ,-0.129057797
   1  111111,-0.766649687
   1 1      ,0
   1 1     1,-0.703855321
   1 1    1 ,-0.740609916
   1 1    11,-0.034916865
   1 1   1  ,-0.862893025
   1 1   1 1,-0.034916865
   1 1   11 ,-0.073605912
   1 1   111,-1.472118234
   1 1  1   ,-0.703855321
   1 1  1  1,0.740900338
   1 1  1 1 ,0
   1 1  1 11,-0.779895093
   1 1  11  ,-0.034916865
   1 1  11 1,-0.779895093
   1 1  111 ,-0.657611984
   1 1  1111,-0.129057797
   1 1 1    ,-0.703855321
   1 1 1   1,0
   1 1 1  1 ,0
   1 1 1  11,-1.594401343
   1 1 1 1  ,-0.073605912
   1 1 1 1 1,-0.737026343
   1 1 1 11 ,-0.741206046
   1 1 1 111,0.735091891
   1 1 11   ,0
   1 1 11  1,-0.857375
   1 1 11 1 ,-0.95
   1 1 11 11,-0.038689047
   1 1 111  ,-0.779895093
   1 1 111 1,1.549598141
   1 1 1111 ,-0.95
   1 1 11111,-1.678655937
   1 11     ,-0.773780937
   1 11    1,0.779589385
   1 11   1 ,0.740900338
   1 11   11,-0.820620405
   1 11  1  ,0.740900338
   1 11  1 1,-1.594401343
   1 11  11 ,-1.514986984
   1 11  111,-1.031557797
   1 11 1   ,0
   1 11 1  1,-0.857375
   1 11 1 1 ,-1.807375
   1 11 1 11,-1.031557797
   1 11 11  ,-1.594401343
   1 11 11 1,-0.129057797
   1 11 111 ,-1.031557797
   1 11 1111,1.085850313
   1 111    ,0
   1 111   1,-1.594401343
   1 111  1 ,-1.641901343
   1 111  11,-0.038689047
   1 111 1  ,-1.514986984
   1 111 1 1,-0.95
   1 111 11 ,0.863810953
   1 111 111,-1.766649687
   1 1111   ,-1.562486984
   1 1111  1,-0.257776859
   1 1111 1 ,0.820942203
   1 1111 11,-1.766649687
   1 11111  ,-0.0475
   1 11111 1,-1.766649687
   1 111111 ,-1.766649687
   1 1111111,0.90963125
11,0.631907961
   11      1,-0.703855321
   11     1 ,-0.703855321
   11     11,-0.073605912
   11    1  ,-0.703855321
   11    1 1,-0.034916865
   11    11 ,-0.073605912
   11    111,-0.737026343
   11   1   ,-0.703855321
   11   1  1,0.740900338
   11   1 1 ,0
   11   1 11,-0.779895093
   11   11  ,-0.034916865
   11   11 1,-0.820620405
   11   111 ,-0.006114155
   11   1111,-0.081557797
   11  1    ,-0.005518025
   11  1   1,-0.034916865
   11  1  1 ,-0.073605912
   11  1  11,-0.779895093
   11  1 1  ,-0.034916865
   11  1 1 1,-0.657611984
   11  1 11 ,-0.741206046
   11  1 111,-0.081557797
   11  11   ,-0.034916865
   11  11  1,-0.737026343
   11  11 1 ,-1.562486984
   11  11 11,-0.081557797
   11  111  ,0.036754595
   11  111 1,-0.081557797
   11  1111 ,-0.081557797
   11  11111,-0.816649687
   11 1     ,-0.95
   11 1    1,0
   11 1   1 ,0.828894088
