Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
670,moderate_player,0.062,0.232,0.706
670,advanced_player,0.09,0.174,0.736
680,random_player,0.485,0.137,0.378
680,moderate_player,0.074,0.227,0.699
680,advanced_player,0.075,0.173,0.752
690,random_player,0.492,0.126,0.382
690,moderate_player,0.081,0.2,0.719
690,advanced_player,0.074,0.171,0.755
700,random_player,0.509,0.11,0.381
700,moderate_player,0.074,0.199,0.727
700,advanced_player,0.08,0.18,0.74
710,random_player,0.525,0.132,0.343
710,moderate_player,0.077,0.219,0.704
710,advanced_player,0.096,0.161,0.743
720,random_player,0.489,0.147,0.364
720,moderate_player,0.058,0.216,0.726
720,advanced_player,0.091,0.171,0.738
730,random_player,0.486,0.146,0.368
730,moderate_player,0.069,0.179,0.752
730,advanced_player,0.061,0.191,0.748
740,random_player,0.513,0.136,0.351
740,moderate_player,0.074,0.218,0.708
740,advanced_player,0.077,0.161,0.762
750,random_player,0.49,0.139,0.371
750,moderate_player,0.083,0.205,0.712
750,advanced_player,0.098,0.188,0.714
760,random_player,0.515,0.147,0.338
760,moderate_player,0.083,0.218,0.699
760,advanced_player,0.077,0.188,0.735
770,random_player,0.479,0.155,0.366
770,moderate_player,0.058,0.224,0.718
770,advanced_player,0.087,0.173,0.74
780,random_player,0.507,0.123,0.37
780,moderate_player,0.08,0.206,0.714
780,advanced_player,0.08,0.171,0.749
790,random_player,0.508,0.125,0.367
790,moderate_player,0.077,0.22,0.703
790,advanced_player,0.088,0.165,0.747
800,random_player,0.497,0.142,0.361
800,moderate_player,0.066,0.194,0.74
800,advanced_player,0.066,0.179,0.755
810,random_player,0.504,0.151,0.345
810,moderate_player,0.086,0.219,0.695
810,advanced_player,0.084,0.168,0.748
820,random_player,0.5,0.123,0.377
820,moderate_player,0.08,0.211,0.709
820,advanced_player,0.078,0.184,0.738
830,random_player,0.509,0.13,0.361
830,moderate_player,0.077,0.205,0.718
830,advanced_player,0.079,0.172,0.749
840,random_player,0.498,0.138,0.364
840,moderate_player,0.088,0.217,0.695
840,advanced_player,0.086,0.164,0.75
850,random_player,0.494,0.125,0.381
850,moderate_player,0.071,0.21,0.719
850,advanced_player,0.082,0.173,0.745
860,random_player,0.51,0.124,0.366
860,moderate_player,0.07,0.211,0.719
860,advanced_player,0.076,0.16,0.764
870,random_player,0.507,0.125,0.368
870,moderate_player,0.077,0.205,0.718
870,advanced_player,0.075,0.185,0.74
880,random_player,0.521,0.145,0.334
880,moderate_player,0.085,0.213,0.702
880,advanced_player,0.082,0.145,0.773
890,random_player,0.474,0.154,0.372
890,moderate_player,0.067,0.205,0.728
890,advanced_player,0.085,0.168,0.747
900,random_player,0.504,0.144,0.352
900,moderate_player,0.078,0.219,0.703
900,advanced_player,0.081,0.178,0.741
910,random_player,0.514,0.127,0.359
910,moderate_player,0.073,0.214,0.713
910,advanced_player,0.08,0.165,0.755
920,random_player,0.484,0.134,0.382
920,moderate_player,0.064,0.219,0.717
920,advanced_player,0.082,0.18,0.738
930,random_player,0.49,0.139,0.371
930,moderate_player,0.08,0.204,0.716
930,advanced_player,0.083,0.184,0.733
940,random_player,0.505,0.123,0.372
940,moderate_player,0.093,0.232,0.675
940,advanced_player,0.072,0.181,0.747
950,random_player,0.506,0.129,0.365
950,moderate_player,0.086,0.22,0.694
950,advanced_player,0.072,0.17,0.758
960,random_player,0.534,0.14,0.326
960,moderate_player,0.071,0.216,0.713
960,advanced_player,0.088,0.182,0.73
970,random_player,0.493,0.128,0.379
970,moderate_player,0.08,0.204,0.716
970,advanced_player,0.069,0.161,0.77
980,random_player,0.502,0.144,0.354
980,moderate_player,0.085,0.216,0.699
980,advanced_player,0.082,0.186,0.732
990,random_player,0.517,0.118,0.365
990,moderate_player,0.057,0.227,0.716
990,advanced_player,0.081,0.172,0.747
1000,random_player,0.486,0.132,0.382
1000,moderate_player,0.064,0.213,0.723
1000,advanced_player,0.07,0.186,0.744
1010,random_player,0.493,0.141,0.366
1010,moderate_player,0.079,0.221,0.7
1010,advanced_player,0.072,0.16,0.768
1020,random_player,0.504,0.134,0.362
1020,moderate_player,0.081,0.202,0.717
1020,advanced_player,0.089,0.143,0.768
1030,random_player,0.498,0.141,0.361
1030,moderate_player,0.085,0.2,0.715
1030,advanced_player,0.068,0.159,0.773
1040,random_player,0.488,0.131,0.381
1040,moderate_player,0.086,0.228,0.686
1040,advanced_player,0.083,0.193,0.724
1050,random_player,0.524,0.126,0.35
1050,moderate_player,0.062,0.217,0.721
1050,advanced_player,0.076,0.166,0.758
1060,random_player,0.482,0.142,0.376
1060,moderate_player,0.081,0.224,0.695
1060,advanced_player,0.071,0.155,0.774
1070,random_player,0.498,0.152,0.35
1070,moderate_player,0.09,0.185,0.725
1070,advanced_player,0.084,0.178,0.738
1080,random_player,0.488,0.132,0.38
1080,moderate_player,0.07,0.193,0.737
1080,advanced_player,0.084,0.169,0.747
1090,random_player,0.513,0.138,0.349
1090,moderate_player,0.073,0.209,0.718
1090,advanced_player,0.072,0.192,0.736
1100,random_player,0.512,0.139,0.349
1100,moderate_player,0.082,0.24,0.678
1100,advanced_player,0.093,0.16,0.747
1110,random_player,0.512,0.131,0.357
1110,moderate_player,0.084,0.205,0.711
1110,advanced_player,0.066,0.185,0.749
1120,random_player,0.508,0.125,0.367
1120,moderate_player,0.081,0.219,0.7
1120,advanced_player,0.079,0.169,0.752
1130,random_player,0.522,0.131,0.347
1130,moderate_player,0.077,0.192,0.731
1130,advanced_player,0.07,0.173,0.757
1140,random_player,0.529,0.128,0.343
1140,moderate_player,0.077,0.21,0.713
1140,advanced_player,0.078,0.174,0.748
1150,random_player,0.474,0.14,0.386
1150,moderate_player,0.064,0.234,0.702
1150,advanced_player,0.062,0.176,0.762
1160,random_player,0.516,0.134,0.35
1160,moderate_player,0.078,0.202,0.72
1160,advanced_player,0.072,0.186,0.742
1170,random_player,0.478,0.13,0.392
1170,moderate_player,0.069,0.225,0.706
1170,advanced_player,0.085,0.19,0.725
1180,random_player,0.495,0.146,0.359
1180,moderate_player,0.061,0.211,0.728
1180,advanced_player,0.083,0.182,0.735
1190,random_player,0.537,0.136,0.327
1190,moderate_player,0.09,0.205,0.705
1190,advanced_player,0.083,0.184,0.733
1200,random_player,0.504,0.123,0.373
1200,moderate_player,0.065,0.218,0.717
1200,advanced_player,0.093,0.159,0.748
1210,random_player,0.486,0.134,0.38
1210,moderate_player,0.067,0.225,0.708
1210,advanced_player,0.076,0.173,0.751
1220,random_player,0.486,0.132,0.382
1220,moderate_player,0.073,0.223,0.704
1220,advanced_player,0.071,0.186,0.743
1230,random_player,0.495,0.134,0.371
1230,moderate_player,0.09,0.2,0.71
1230,advanced_player,0.073,0.176,0.751
1240,random_player,0.496,0.139,0.365
1240,moderate_player,0.097,0.207,0.696
1240,advanced_player,0.078,0.178,0.744
1250,random_player,0.498,0.13,0.372
1250,moderate_player,0.074,0.2,0.726
1250,advanced_player,0.085,0.169,0.746
1260,random_player,0.535,0.126,0.339
1260,moderate_player,0.075,0.224,0.701
1260,advanced_player,0.09,0.182,0.728
1270,random_player,0.433,0.161,0.406
1270,moderate_player,0.068,0.205,0.727
1270,advanced_player,0.089,0.191,0.72
1280,random_player,0.534,0.121,0.345
1280,moderate_player,0.08,0.202,0.718
1280,advanced_player,0.084,0.174,0.742
1290,random_player,0.498,0.135,0.367
1290,moderate_player,0.078,0.189,0.733
1290,advanced_player,0.077,0.168,0.755
1300,random_player,0.486,0.128,0.386
1300,moderate_player,0.073,0.215,0.712
1300,advanced_player,0.078,0.174,0.748
1310,random_player,0.505,0.128,0.367
1310,moderate_player,0.094,0.217,0.689
1310,advanced_player,0.078,0.179,0.743
1320,random_player,0.489,0.136,0.375
1320,moderate_player,0.077,0.226,0.697
1320,advanced_player,0.076,0.168,0.756
1330,random_player,0.468,0.136,0.396
1330,moderate_player,0.098,0.229,0.673
1330,advanced_player,0.08,0.176,0.744
1340,random_player,0.503,0.132,0.365
1340,moderate_player,0.078,0.221,0.701
1340,advanced_player,0.085,0.174,0.741
1350,random_player,0.524,0.139,0.337
1350,moderate_player,0.071,0.204,0.725
1350,advanced_player,0.091,0.171,0.738
1360,random_player,0.498,0.115,0.387
1360,moderate_player,0.073,0.222,0.705
1360,advanced_player,0.069,0.189,0.742
1370,random_player,0.507,0.159,0.334
1370,moderate_player,0.073,0.213,0.714
1370,advanced_player,0.079,0.176,0.745
1380,random_player,0.5,0.145,0.355
1380,moderate_player,0.077,0.208,0.715
1380,advanced_player,0.079,0.177,0.744
1390,random_player,0.493,0.141,0.366
1390,moderate_player,0.073,0.22,0.707
1390,advanced_player,0.064,0.167,0.769
1400,random_player,0.49,0.144,0.366
1400,moderate_player,0.062,0.195,0.743
1400,advanced_player,0.08,0.182,0.738
1410,random_player,0.488,0.147,0.365
1410,moderate_player,0.083,0.207,0.71
1410,advanced_player,0.085,0.149,0.766
1420,random_player,0.51,0.125,0.365
1420,moderate_player,0.089,0.209,0.702
1420,advanced_player,0.09,0.175,0.735
1430,random_player,0.508,0.123,0.369
1430,moderate_player,0.074,0.224,0.702
1430,advanced_player,0.069,0.166,0.765
1440,random_player,0.466,0.146,0.388
1440,moderate_player,0.081,0.207,0.712
1440,advanced_player,0.088,0.162,0.75
1450,random_player,0.508,0.118,0.374
1450,moderate_player,0.065,0.237,0.698
1450,advanced_player,0.084,0.181,0.735
1460,random_player,0.482,0.135,0.383
1460,moderate_player,0.071,0.221,0.708
1460,advanced_player,0.082,0.173,0.745
1470,random_player,0.497,0.123,0.38
1470,moderate_player,0.075,0.217,0.708
1470,advanced_player,0.089,0.189,0.722
1480,random_player,0.499,0.133,0.368
1480,moderate_player,0.088,0.222,0.69
1480,advanced_player,0.084,0.172,0.744
1490,random_player,0.496,0.138,0.366
1490,moderate_player,0.088,0.182,0.73
1490,advanced_player,0.084,0.186,0.73
1500,random_player,0.476,0.123,0.401
1500,moderate_player,0.072,0.206,0.722
1500,advanced_player,0.073,0.193,0.734
1510,random_player,0.508,0.14,0.352
1510,moderate_player,0.073,0.208,0.719
1510,advanced_player,0.089,0.184,0.727
1520,random_player,0.503,0.116,0.381
1520,moderate_player,0.078,0.22,0.702
1520,advanced_player,0.066,0.182,0.752
1530,random_player,0.488,0.168,0.344
1530,moderate_player,0.075,0.219,0.706
1530,advanced_player,0.081,0.161,0.758
1540,random_player,0.423,0.153,0.424
1540,moderate_player,0.021,0.216,0.763
1540,advanced_player,0.017,0.264,0.719
1550,random_player,0.483,0.126,0.391
1550,moderate_player,0.096,0.232,0.672
1550,advanced_player,0.092,0.168,0.74
1560,random_player,0.49,0.128,0.382
1560,moderate_player,0.069,0.271,0.66
1560,advanced_player,0.067,0.182,0.751
1570,random_player,0.487,0.134,0.379
1570,moderate_player,0.087,0.263,0.65
1570,advanced_player,0.033,0.191,0.776
1580,random_player,0.496,0.132,0.372
1580,moderate_player,0.06,0.253,0.687
1580,advanced_player,0.056,0.197,0.747
1590,random_player,0.501,0.137,0.362
1590,moderate_player,0.051,0.229,0.72
1590,advanced_player,0.043,0.205,0.752
1600,random_player,0.48,0.163,0.357
1600,moderate_player,0.056,0.213,0.731
1600,advanced_player,0.047,0.201,0.752
1610,random_player,0.449,0.132,0.419
1610,moderate_player,0.063,0.236,0.701
1610,advanced_player,0.048,0.218,0.734
1620,random_player,0.474,0.129,0.397
1620,moderate_player,0.06,0.209,0.731
1620,advanced_player,0.051,0.236,0.713
1630,random_player,0.493,0.13,0.377
1630,moderate_player,0.059,0.229,0.712
1630,advanced_player,0.037,0.239,0.724
1640,random_player,0.513,0.11,0.377
1640,moderate_player,0.067,0.249,0.684
1640,advanced_player,0.04,0.28,0.68
1650,random_player,0.508,0.141,0.351
1650,moderate_player,0.072,0.252,0.676
1650,advanced_player,0.041,0.263,0.696
1660,random_player,0.526,0.122,0.352
1660,moderate_player,0.07,0.239,0.691
1660,advanced_player,0.036,0.279,0.685
1670,random_player,0.57,0.122,0.308
1670,moderate_player,0.084,0.239,0.677
1670,advanced_player,0.038,0.264,0.698
1680,random_player,0.511,0.12,0.369
1680,moderate_player,0.053,0.278,0.669
1680,advanced_player,0.023,0.301,0.676
1690,random_player,0.537,0.111,0.352
1690,moderate_player,0.048,0.266,0.686
1690,advanced_player,0.03,0.319,0.651
1700,random_player,0.521,0.133,0.346
1700,moderate_player,0.037,0.303,0.66
1700,advanced_player,0.023,0.297,0.68
1710,random_player,0.53,0.126,0.344
1710,moderate_player,0.043,0.281,0.676
1710,advanced_player,0.03,0.314,0.656
1720,random_player,0.511,0.132,0.357
1720,moderate_player,0.043,0.279,0.678
1720,advanced_player,0.025,0.34,0.635
1730,random_player,0.506,0.117,0.377
1730,moderate_player,0.052,0.24,0.708
1730,advanced_player,0.023,0.329,0.648
1740,random_player,0.542,0.115,0.343
1740,moderate_player,0.04,0.272,0.688
1740,advanced_player,0.039,0.324,0.637
1750,random_player,0.507,0.115,0.378
1750,moderate_player,0.046,0.277,0.677
1750,advanced_player,0.036,0.308,0.656
1760,random_player,0.548,0.103,0.349
1760,moderate_player,0.065,0.284,0.651
1760,advanced_player,0.039,0.319,0.642
1770,random_player,0.532,0.109,0.359
1770,moderate_player,0.06,0.26,0.68
1770,advanced_player,0.046,0.313,0.641
1780,random_player,0.507,0.099,0.394
1780,moderate_player,0.053,0.251,0.696
1780,advanced_player,0.045,0.286,0.669
1790,random_player,0.487,0.12,0.393
1790,moderate_player,0.062,0.245,0.693
1790,advanced_player,0.024,0.307,0.669
1800,random_player,0.505,0.117,0.378
1800,moderate_player,0.046,0.214,0.74
1800,advanced_player,0.04,0.246,0.714
1810,random_player,0.519,0.114,0.367
1810,moderate_player,0.046,0.217,0.737
1810,advanced_player,0.034,0.26,0.706
1820,random_player,0.526,0.084,0.39
1820,moderate_player,0.054,0.212,0.734
1820,advanced_player,0.033,0.278,0.689
1830,random_player,0.497,0.113,0.39
1830,moderate_player,0.05,0.201,0.749
1830,advanced_player,0.033,0.258,0.709
1840,random_player,0.487,0.121,0.392
1840,moderate_player,0.05,0.211,0.739
1840,advanced_player,0.043,0.239,0.718
1850,random_player,0.501,0.105,0.394
1850,moderate_player,0.041,0.216,0.743
1850,advanced_player,0.042,0.23,0.728
1860,random_player,0.519,0.119,0.362
1860,moderate_player,0.03,0.227,0.743
1860,advanced_player,0.041,0.248,0.711
1870,random_player,0.484,0.135,0.381
1870,moderate_player,0.028,0.214,0.758
1870,advanced_player,0.042,0.241,0.717
1880,random_player,0.508,0.147,0.345
1880,moderate_player,0.032,0.24,0.728
1880,advanced_player,0.038,0.226,0.736
1890,random_player,0.523,0.162,0.315
1890,moderate_player,0.038,0.254,0.708
1890,advanced_player,0.055,0.237,0.708
1900,random_player,0.483,0.156,0.361
1900,moderate_player,0.039,0.257,0.704
1900,advanced_player,0.049,0.215,0.736
1910,random_player,0.478,0.18,0.342
1910,moderate_player,0.038,0.249,0.713
1910,advanced_player,0.032,0.189,0.779
1920,random_player,0.458,0.163,0.379
1920,moderate_player,0.03,0.242,0.728
1920,advanced_player,0.017,0.209,0.774
1930,random_player,0.488,0.157,0.355
1930,moderate_player,0.026,0.27,0.704
1930,advanced_player,0.016,0.215,0.769
1940,random_player,0.462,0.201,0.337
1940,moderate_player,0.024,0.274,0.702
1940,advanced_player,0.026,0.229,0.745
1950,random_player,0.498,0.158,0.344
1950,moderate_player,0.019,0.287,0.694
1950,advanced_player,0.025,0.238,0.737
1960,random_player,0.511,0.159,0.33
1960,moderate_player,0.03,0.25,0.72
1960,advanced_player,0.017,0.254,0.729
1970,random_player,0.502,0.156,0.342
1970,moderate_player,0.02,0.25,0.73
1970,advanced_player,0.02,0.208,0.772
1980,random_player,0.494,0.159,0.347
1980,moderate_player,0.024,0.255,0.721
1980,advanced_player,0.017,0.247,0.736
1990,random_player,0.546,0.149,0.305
1990,moderate_player,0.027,0.289,0.684
1990,advanced_player,0.027,0.229,0.744
2000,random_player,0.504,0.21,0.286
2000,moderate_player,0.035,0.274,0.691
2000,advanced_player,0.035,0.229,0.736
2010,random_player,0.499,0.184,0.317
2010,moderate_player,0.026,0.292,0.682
2010,advanced_player,0.034,0.24,0.726
2020,random_player,0.493,0.206,0.301
2020,moderate_player,0.024,0.242,0.734
2020,advanced_player,0.038,0.236,0.726
2030,random_player,0.509,0.188,0.303
2030,moderate_player,0.017,0.261,0.722
2030,advanced_player,0.039,0.232,0.729
2040,random_player,0.495,0.186,0.319
2040,moderate_player,0.028,0.256,0.716
2040,advanced_player,0.044,0.229,0.727
2050,random_player,0.523,0.191,0.286
2050,moderate_player,0.037,0.256,0.707
2050,advanced_player,0.047,0.255,0.698
2060,random_player,0.534,0.166,0.3
2060,moderate_player,0.035,0.252,0.713
2060,advanced_player,0.048,0.269,0.683
2070,random_player,0.539,0.159,0.302
2070,moderate_player,0.026,0.272,0.702
2070,advanced_player,0.048,0.275,0.677
2080,random_player,0.574,0.176,0.25
2080,moderate_player,0.029,0.275,0.696
2080,advanced_player,0.041,0.238,0.721
2090,random_player,0.569,0.155,0.276
2090,moderate_player,0.031,0.275,0.694
2090,advanced_player,0.05,0.28,0.67
2100,random_player,0.546,0.175,0.279
2100,moderate_player,0.031,0.272,0.697
2100,advanced_player,0.047,0.278,0.675
2110,random_player,0.569,0.182,0.249
2110,moderate_player,0.024,0.278,0.698
2110,advanced_player,0.044,0.248,0.708
2120,random_player,0.561,0.176,0.263
2120,moderate_player,0.03,0.287,0.683
2120,advanced_player,0.037,0.265,0.698
2130,random_player,0.586,0.159,0.255
2130,moderate_player,0.029,0.241,0.73
2130,advanced_player,0.051,0.247,0.702
2140,random_player,0.56,0.193,0.247
2140,moderate_player,0.026,0.275,0.699
2140,advanced_player,0.053,0.271,0.676
2150,random_player,0.592,0.162,0.246
2150,moderate_player,0.03,0.291,0.679
2150,advanced_player,0.057,0.264,0.679
2160,random_player,0.576,0.174,0.25
2160,moderate_player,0.035,0.262,0.703
2160,advanced_player,0.054,0.293,0.653
2170,random_player,0.595,0.162,0.243
2170,moderate_player,0.033,0.267,0.7
2170,advanced_player,0.049,0.261,0.69
2180,random_player,0.567,0.17,0.263
2180,moderate_player,0.038,0.277,0.685
2180,advanced_player,0.054,0.259,0.687
2190,random_player,0.607,0.155,0.238
2190,moderate_player,0.039,0.282,0.679
2190,advanced_player,0.061,0.263,0.676
2200,random_player,0.602,0.156,0.242
2200,moderate_player,0.049,0.302,0.649
2200,advanced_player,0.044,0.289,0.667
2210,random_player,0.586,0.168,0.246
2210,moderate_player,0.04,0.291,0.669
2210,advanced_player,0.054,0.269,0.677
2220,random_player,0.572,0.177,0.251
2220,moderate_player,0.043,0.283,0.674
2220,advanced_player,0.053,0.26,0.687
2230,random_player,0.591,0.148,0.261
2230,moderate_player,0.044,0.272,0.684
2230,advanced_player,0.053,0.278,0.669
2240,random_player,0.583,0.146,0.271
2240,moderate_player,0.044,0.273,0.683
2240,advanced_player,0.051,0.282,0.667
2250,random_player,0.582,0.147,0.271
2250,moderate_player,0.052,0.281,0.667
2250,advanced_player,0.054,0.267,0.679
2260,random_player,0.581,0.158,0.261
2260,moderate_player,0.055,0.264,0.681
2260,advanced_player,0.065,0.251,0.684
2270,random_player,0.576,0.16,0.264
2270,moderate_player,0.036,0.288,0.676
2270,advanced_player,0.063,0.273,0.664
2280,random_player,0.565,0.168,0.267
2280,moderate_player,0.043,0.282,0.675
2280,advanced_player,0.056,0.271,0.673
2290,random_player,0.598,0.149,0.253
2290,moderate_player,0.053,0.255,0.692
2290,advanced_player,0.066,0.282,0.652
2300,random_player,0.565,0.166,0.269
2300,moderate_player,0.036,0.265,0.699
2300,advanced_player,0.046,0.286,0.668
2310,random_player,0.577,0.17,0.253
2310,moderate_player,0.056,0.292,0.652
2310,advanced_player,0.065,0.276,0.659
2320,random_player,0.556,0.173,0.271
2320,moderate_player,0.046,0.281,0.673
2320,advanced_player,0.062,0.282,0.656
2330,random_player,0.578,0.135,0.287
2330,moderate_player,0.07,0.281,0.649
2330,advanced_player,0.057,0.29,0.653
