Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
10,random_player,0.478,0.135,0.387
10,moderate_player,0.076,0.221,0.703
10,advanced_player,0.091,0.161,0.748
20,random_player,0.511,0.139,0.35
20,moderate_player,0.072,0.209,0.719
20,advanced_player,0.083,0.174,0.743
30,random_player,0.498,0.113,0.389
30,moderate_player,0.076,0.19,0.734
30,advanced_player,0.075,0.161,0.764
40,random_player,0.499,0.14,0.361
40,moderate_player,0.073,0.247,0.68
40,advanced_player,0.08,0.172,0.748
50,random_player,0.532,0.128,0.34
50,moderate_player,0.08,0.191,0.729
50,advanced_player,0.087,0.168,0.745
60,random_player,0.509,0.162,0.329
60,moderate_player,0.096,0.212,0.692
60,advanced_player,0.069,0.175,0.756
70,random_player,0.506,0.129,0.365
70,moderate_player,0.078,0.219,0.703
70,advanced_player,0.083,0.177,0.74
80,random_player,0.503,0.124,0.373
80,moderate_player,0.071,0.208,0.721
80,advanced_player,0.083,0.175,0.742
90,random_player,0.506,0.127,0.367
90,moderate_player,0.068,0.219,0.713
90,advanced_player,0.072,0.168,0.76
100,random_player,0.483,0.122,0.395
100,moderate_player,0.069,0.208,0.723
100,advanced_player,0.074,0.179,0.747
110,random_player,0.489,0.136,0.375
110,moderate_player,0.079,0.205,0.716
110,advanced_player,0.07,0.166,0.764
120,random_player,0.514,0.136,0.35
120,moderate_player,0.081,0.213,0.706
120,advanced_player,0.066,0.192,0.742
130,random_player,0.504,0.138,0.358
130,moderate_player,0.085,0.202,0.713
130,advanced_player,0.075,0.172,0.753
140,random_player,0.5,0.137,0.363
140,moderate_player,0.08,0.238,0.682
140,advanced_player,0.086,0.173,0.741
150,random_player,0.502,0.128,0.37
150,moderate_player,0.087,0.218,0.695
150,advanced_player,0.078,0.17,0.752
160,random_player,0.504,0.134,0.362
160,moderate_player,0.074,0.234,0.692
160,advanced_player,0.066,0.173,0.761
170,random_player,0.488,0.119,0.393
170,moderate_player,0.082,0.218,0.7
170,advanced_player,0.087,0.18,0.733
180,random_player,0.47,0.158,0.372
180,moderate_player,0.095,0.221,0.684
180,advanced_player,0.08,0.182,0.738
190,random_player,0.506,0.13,0.364
190,moderate_player,0.068,0.232,0.7
190,advanced_player,0.083,0.187,0.73
200,random_player,0.519,0.128,0.353
200,moderate_player,0.057,0.217,0.726
200,advanced_player,0.073,0.163,0.764
210,random_player,0.506,0.118,0.376
210,moderate_player,0.07,0.199,0.731
210,advanced_player,0.079,0.169,0.752
220,random_player,0.501,0.157,0.342
220,moderate_player,0.077,0.192,0.731
220,advanced_player,0.084,0.182,0.734
230,random_player,0.528,0.133,0.339
230,moderate_player,0.072,0.205,0.723
230,advanced_player,0.081,0.163,0.756
240,random_player,0.486,0.136,0.378
240,moderate_player,0.082,0.216,0.702
240,advanced_player,0.079,0.176,0.745
250,random_player,0.498,0.13,0.372
250,moderate_player,0.079,0.215,0.706
250,advanced_player,0.083,0.162,0.755
260,random_player,0.532,0.115,0.353
260,moderate_player,0.081,0.223,0.696
260,advanced_player,0.085,0.172,0.743
270,random_player,0.494,0.15,0.356
270,moderate_player,0.09,0.198,0.712
270,advanced_player,0.069,0.171,0.76
280,random_player,0.525,0.104,0.371
280,moderate_player,0.072,0.212,0.716
280,advanced_player,0.086,0.182,0.732
290,random_player,0.522,0.142,0.336
290,moderate_player,0.072,0.211,0.717
290,advanced_player,0.077,0.178,0.745
300,random_player,0.508,0.159,0.333
300,moderate_player,0.086,0.203,0.711
300,advanced_player,0.074,0.17,0.756
310,random_player,0.507,0.112,0.381
310,moderate_player,0.067,0.21,0.723
310,advanced_player,0.08,0.17,0.75
320,random_player,0.493,0.158,0.349
320,moderate_player,0.078,0.194,0.728
320,advanced_player,0.091,0.165,0.744
330,random_player,0.49,0.142,0.368
330,moderate_player,0.064,0.222,0.714
330,advanced_player,0.098,0.172,0.73
340,random_player,0.486,0.129,0.385
340,moderate_player,0.085,0.204,0.711
340,advanced_player,0.075,0.189,0.736
350,random_player,0.513,0.125,0.362
350,moderate_player,0.072,0.212,0.716
350,advanced_player,0.07,0.163,0.767
360,random_player,0.499,0.121,0.38
360,moderate_player,0.061,0.202,0.737
360,advanced_player,0.084,0.183,0.733
370,random_player,0.524,0.134,0.342
370,moderate_player,0.067,0.214,0.719
370,advanced_player,0.084,0.152,0.764
380,random_player,0.517,0.128,0.355
380,moderate_player,0.065,0.217,0.718
380,advanced_player,0.073,0.195,0.732
390,random_player,0.463,0.144,0.393
390,moderate_player,0.067,0.216,0.717
390,advanced_player,0.088,0.163,0.749
400,random_player,0.558,0.115,0.327
400,moderate_player,0.08,0.187,0.733
400,advanced_player,0.081,0.165,0.754
410,random_player,0.512,0.146,0.342
410,moderate_player,0.08,0.241,0.679
410,advanced_player,0.086,0.142,0.772
420,random_player,0.515,0.113,0.372
420,moderate_player,0.079,0.217,0.704
420,advanced_player,0.091,0.166,0.743
430,random_player,0.488,0.13,0.382
430,moderate_player,0.055,0.213,0.732
430,advanced_player,0.078,0.161,0.761
440,random_player,0.49,0.127,0.383
440,moderate_player,0.066,0.21,0.724
440,advanced_player,0.089,0.167,0.744
450,random_player,0.529,0.128,0.343
450,moderate_player,0.077,0.206,0.717
450,advanced_player,0.078,0.164,0.758
460,random_player,0.505,0.122,0.373
460,moderate_player,0.078,0.21,0.712
460,advanced_player,0.075,0.172,0.753
470,random_player,0.532,0.137,0.331
470,moderate_player,0.076,0.21,0.714
470,advanced_player,0.085,0.159,0.756
480,random_player,0.484,0.146,0.37
480,moderate_player,0.075,0.219,0.706
480,advanced_player,0.082,0.196,0.722
490,random_player,0.487,0.127,0.386
490,moderate_player,0.081,0.211,0.708
490,advanced_player,0.083,0.151,0.766
500,random_player,0.471,0.158,0.371
500,moderate_player,0.09,0.223,0.687
500,advanced_player,0.071,0.206,0.723
510,random_player,0.506,0.114,0.38
510,moderate_player,0.078,0.221,0.701
510,advanced_player,0.074,0.155,0.771
520,random_player,0.499,0.139,0.362
520,moderate_player,0.067,0.229,0.704
520,advanced_player,0.078,0.18,0.742
530,random_player,0.509,0.144,0.347
530,moderate_player,0.077,0.215,0.708
530,advanced_player,0.081,0.18,0.739
540,random_player,0.493,0.13,0.377
540,moderate_player,0.062,0.221,0.717
540,advanced_player,0.078,0.177,0.745
550,random_player,0.513,0.124,0.363
550,moderate_player,0.082,0.226,0.692
550,advanced_player,0.071,0.177,0.752
560,random_player,0.505,0.145,0.35
560,moderate_player,0.066,0.212,0.722
560,advanced_player,0.079,0.178,0.743
570,random_player,0.505,0.115,0.38
570,moderate_player,0.073,0.209,0.718
570,advanced_player,0.094,0.184,0.722
580,random_player,0.502,0.119,0.379
580,moderate_player,0.074,0.209,0.717
580,advanced_player,0.085,0.161,0.754
590,random_player,0.498,0.138,0.364
590,moderate_player,0.085,0.212,0.703
590,advanced_player,0.078,0.178,0.744
600,random_player,0.477,0.155,0.368
600,moderate_player,0.07,0.217,0.713
600,advanced_player,0.082,0.18,0.738
610,random_player,0.497,0.139,0.364
610,moderate_player,0.078,0.219,0.703
610,advanced_player,0.065,0.172,0.763
620,random_player,0.524,0.123,0.353
620,moderate_player,0.067,0.245,0.688
620,advanced_player,0.063,0.195,0.742
630,random_player,0.503,0.14,0.357
630,moderate_player,0.091,0.205,0.704
630,advanced_player,0.087,0.196,0.717
640,random_player,0.503,0.129,0.368
640,moderate_player,0.086,0.198,0.716
640,advanced_player,0.096,0.168,0.736
650,random_player,0.508,0.147,0.345
650,moderate_player,0.072,0.203,0.725
650,advanced_player,0.088,0.173,0.739
660,random_player,0.479,0.142,0.379
660,moderate_player,0.062,0.23,0.708
660,advanced_player,0.078,0.182,0.74
670,random_player,0.506,0.121,0.373
